,,Crop,N,P,K,pH,rainfall,temperature
,,rice,80,40,40,5.54,770.44,28.68
,,sesamum,30,15,30,6.42,770.44,28.68
,,soyabean,20,60,20,5.44,770.44,28.68
,,sunflower,50,60,30,5.56,770.44,28.68
,,horsegram,20,60,20,5.96,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.52,98.94,25.574
,,moong,20,40,20,5.68,98.94,25.574
,,onion,120,60,65,6.12,98.94,25.574
,,rapeseed,50,40,20,5.12,98.94,25.574
,,rice,80,40,40,5.42,98.94,25.574
,,sesamum,30,15,30,6.34,98.94,25.574
,,wheat,60,30,30,6.6,98.94,25.574
,,banana,100,75,50,6.52,942.8,28.99454545
,,ladyfinger,80,10,40,6.46,942.8,28.99454545
,,bottlegourd,100,50,50,6.32,942.8,28.99454545
,,brinjal,80,15,40,6.44,942.8,28.99454545
,,cabbage,100,65,70,6.6,942.8,28.99454545
,,cashewnuts,70,40,60,5.82,942.8,28.99454545
,,coriander,10,20,20,6.32,942.8,28.99454545
,,cucumber,60,60,85,6.34,942.8,28.99454545
,,grapes,20,125,200,3.94,942.8,28.99454545
,,mango,20,20,30,5.12,942.8,28.99454545
,,orange,20,10,10,3.82,942.8,28.99454545
,,papaya,50,50,50,6.16,942.8,28.99454545
,,potato,180,60,90,5.1,942.8,28.99454545
,,tomato,100,40,90,6.08,942.8,28.99454545
,,turmeric,25,60,100,5.04,942.8,28.99454545
,,cotton,120,40,20,5.5,770.44,28.68
,,jowar,80,40,40,5.52,770.44,28.68
,,maize,80,40,20,5.48,770.44,28.68
,,moong,20,40,20,5.54,770.44,28.68
,,rice,80,40,40,5.68,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,sunflower,50,60,30,5.44,770.44,28.68
,,horsegram,20,60,20,5.84,98.94,25.574
,,jowar,80,40,40,5.54,98.94,25.574
,,maize,80,40,20,5.6,98.94,25.574
,,moong,20,40,20,5.34,98.94,25.574
,,onion,120,60,65,6.12,98.94,25.574
,,rice,80,40,40,5.48,98.94,25.574
,,sesamum,30,15,30,6.68,98.94,25.574
,,ladyfinger,80,10,40,6.46,942.8,28.99454545
,,brinjal,80,15,40,6.46,942.8,28.99454545
,,coriander,10,20,20,6.42,942.8,28.99454545
,,cucumber,60,60,85,6.34,942.8,28.99454545
,,grapes,20,125,200,3.92,942.8,28.99454545
,,mango,20,20,30,4.88,942.8,28.99454545
,,orange,20,10,10,3.96,942.8,28.99454545
,,papaya,50,50,50,5.82,942.8,28.99454545
,,tomato,100,40,90,6.16,942.8,28.99454545
,,cotton,120,40,20,5.62,770.44,28.68
,,jowar,80,40,40,5.46,770.44,28.68
,,maize,80,40,20,5.54,770.44,28.68
,,moong,20,40,20,5.36,770.44,28.68
,,onion,120,60,65,6.02,770.44,28.68
,,ragi,50,40,20,5.44,770.44,28.68
,,rice,80,40,40,5.46,770.44,28.68
,,sesamum,30,15,30,6.46,770.44,28.68
,,soyabean,20,60,20,5.34,770.44,28.68
,,sunflower,50,60,30,5.56,770.44,28.68
,,horsegram,20,60,20,6.14,98.94,25.574
,,jowar,80,40,40,5.42,98.94,25.574
,,maize,80,40,20,5.46,98.94,25.574
,,moong,20,40,20,5.4,98.94,25.574
,,onion,120,60,65,5.92,98.94,25.574
,,rapeseed,50,40,20,5.16,98.94,25.574
,,rice,80,40,40,5.42,98.94,25.574
,,sesamum,30,15,30,6.4,98.94,25.574
,,wheat,60,30,30,6.7,98.94,25.574
,,banana,100,75,50,6.52,942.8,28.99454545
,,ladyfinger,80,10,40,6.36,942.8,28.99454545
,,brinjal,80,15,40,6.46,942.8,28.99454545
,,cabbage,100,65,70,6.46,942.8,28.99454545
,,coriander,10,20,20,6.44,942.8,28.99454545
,,cucumber,60,60,85,6.4,942.8,28.99454545
,,mango,20,20,30,5,942.8,28.99454545
,,orange,20,10,10,3.94,942.8,28.99454545
,,tomato,100,40,90,6,942.8,28.99454545
,,turmeric,25,60,100,4.98,942.8,28.99454545
,,cotton,120,40,20,5.64,770.44,28.68
,,horsegram,20,60,20,6.18,770.44,28.68
,,jowar,80,40,40,5.4,770.44,28.68
,,maize,80,40,20,5.32,770.44,28.68
,,moong,20,40,20,5.58,770.44,28.68
,,onion,120,60,65,5.92,770.44,28.68
,,ragi,50,40,20,5.54,770.44,28.68
,,rice,80,40,40,5.68,770.44,28.68
,,sesamum,30,15,30,6.48,770.44,28.68
,,sunflower,50,60,30,5.54,770.44,28.68
,,horsegram,20,60,20,5.96,98.94,25.574
,,jowar,80,40,40,5.32,98.94,25.574
,,maize,80,40,20,5.52,98.94,25.574
,,onion,120,60,65,6.06,98.94,25.574
,,ragi,50,40,20,5.42,98.94,25.574
,,rice,80,40,40,5.34,98.94,25.574
,,wheat,60,30,30,6.8,98.94,25.574
,,banana,100,75,50,6.34,942.8,28.99454545
,,ladyfinger,80,10,40,6.54,942.8,28.99454545
,,bottlegourd,100,50,50,6.4,942.8,28.99454545
,,brinjal,80,15,40,6.4,942.8,28.99454545
,,cabbage,100,65,70,6.38,942.8,28.99454545
,,coriander,10,20,20,6.46,942.8,28.99454545
,,cucumber,60,60,85,6.6,942.8,28.99454545
,,grapes,20,125,200,4.04,942.8,28.99454545
,,mango,20,20,30,4.92,942.8,28.99454545
,,orange,20,10,10,3.96,942.8,28.99454545
,,papaya,50,50,50,5.88,942.8,28.99454545
,,potato,180,60,90,4.82,942.8,28.99454545
,,sweetpotato,90,20,120,5.18,942.8,28.99454545
,,tapioca,50,50,50,5.42,942.8,28.99454545
,,tomato,100,40,90,5.92,942.8,28.99454545
,,turmeric,25,60,100,5.1,942.8,28.99454545
,,cotton,120,40,20,5.66,770.44,28.68
,,jowar,80,40,40,5.4,770.44,28.68
,,maize,80,40,20,5.52,770.44,28.68
,,moong,20,40,20,5.68,770.44,28.68
,,onion,120,60,65,6,770.44,28.68
,,rice,80,40,40,5.46,770.44,28.68
,,sesamum,30,15,30,6.4,770.44,28.68
,,sunflower,50,60,30,5.36,770.44,28.68
,,horsegram,20,60,20,6.08,98.94,25.574
,,jowar,80,40,40,5.42,98.94,25.574
,,maize,80,40,20,5.32,98.94,25.574
,,moong,20,40,20,5.54,98.94,25.574
,,onion,120,60,65,6.16,98.94,25.574
,,rice,80,40,40,5.56,98.94,25.574
,,sesamum,30,15,30,6.52,98.94,25.574
,,wheat,60,30,30,6.8,98.94,25.574
,,banana,100,75,50,6.6,942.8,28.99454545
,,ladyfinger,80,10,40,6.66,942.8,28.99454545
,,bottlegourd,100,50,50,6.34,942.8,28.99454545
,,brinjal,80,15,40,6.52,942.8,28.99454545
,,cabbage,100,65,70,6.66,942.8,28.99454545
,,coriander,10,20,20,6.64,942.8,28.99454545
,,cucumber,60,60,85,6.62,942.8,28.99454545
,,mango,20,20,30,4.82,942.8,28.99454545
,,orange,20,10,10,4.08,942.8,28.99454545
,,papaya,50,50,50,6.08,942.8,28.99454545
,,sweetpotato,90,20,120,5,942.8,28.99454545
,,tomato,100,40,90,6.04,942.8,28.99454545
,,turmeric,25,60,100,4.86,942.8,28.99454545
,,cotton,120,40,20,5.4,770.44,28.68
,,jowar,80,40,40,5.6,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.5,770.44,28.68
,,rice,80,40,40,5.52,770.44,28.68
,,sesamum,30,15,30,6.4,770.44,28.68
,,soyabean,20,60,20,5.68,770.44,28.68
,,sunflower,50,60,30,5.34,770.44,28.68
,,horsegram,20,60,20,5.86,98.94,25.574
,,jowar,80,40,40,5.38,98.94,25.574
,,maize,80,40,20,5.68,98.94,25.574
,,moong,20,40,20,5.44,98.94,25.574
,,onion,120,60,65,5.94,98.94,25.574
,,rapeseed,50,40,20,5.06,98.94,25.574
,,rice,80,40,40,5.6,98.94,25.574
,,sesamum,30,15,30,6.46,98.94,25.574
,,sunflower,50,60,30,5.62,98.94,25.574
,,wheat,60,30,30,6.5,98.94,25.574
,,banana,100,75,50,6.38,942.8,28.99454545
,,cashewnuts,70,40,60,5.82,942.8,28.99454545
,,coriander,10,20,20,6.46,942.8,28.99454545
,,sweetpotato,90,20,120,4.98,942.8,28.99454545
,,turmeric,25,60,100,4.96,942.8,28.99454545
,,cotton,120,40,20,5.4,770.44,28.68
,,jowar,80,40,40,5.5,770.44,28.68
,,maize,80,40,20,5.46,770.44,28.68
,,moong,20,40,20,5.6,770.44,28.68
,,onion,120,60,65,6.08,770.44,28.68
,,rice,80,40,40,5.5,770.44,28.68
,,sesamum,30,15,30,6.42,770.44,28.68
,,sunflower,50,60,30,5.52,770.44,28.68
,,horsegram,20,60,20,5.98,98.94,25.574
,,jowar,80,40,40,5.62,98.94,25.574
,,maize,80,40,20,5.5,98.94,25.574
,,moong,20,40,20,5.44,98.94,25.574
,,onion,120,60,65,5.92,98.94,25.574
,,rice,80,40,40,5.6,98.94,25.574
,,sesamum,30,15,30,6.36,98.94,25.574
,,sunflower,50,60,30,5.5,98.94,25.574
,,wheat,60,30,30,6.11,98.94,25.574
,,banana,100,75,50,6.5,942.8,28.99454545
,,coriander,10,20,20,6.32,942.8,28.99454545
,,turmeric,25,60,100,5.18,942.8,28.99454545
,,cotton,120,40,20,5.52,770.44,28.68
,,jowar,80,40,40,5.66,770.44,28.68
,,maize,80,40,20,5.32,770.44,28.68
,,moong,20,40,20,5.42,770.44,28.68
,,ragi,50,40,20,5.46,770.44,28.68
,,rice,80,40,40,5.66,770.44,28.68
,,sesamum,30,15,30,6.62,770.44,28.68
,,sunflower,50,60,30,5.66,770.44,28.68
,,horsegram,20,60,20,5.84,98.94,25.574
,,jowar,80,40,40,5.46,98.94,25.574
,,maize,80,40,20,5.44,98.94,25.574
,,moong,20,40,20,5.44,98.94,25.574
,,onion,120,60,65,6.16,98.94,25.574
,,ragi,50,40,20,5.56,98.94,25.574
,,rice,80,40,40,5.54,98.94,25.574
,,sesamum,30,15,30,6.64,98.94,25.574
,,sunflower,50,60,30,5.68,98.94,25.574
,,banana,100,75,50,6.58,942.8,28.99454545
,,cashewnuts,70,40,60,5.9,942.8,28.99454545
,,sweetpotato,90,20,120,5.12,942.8,28.99454545
,,turmeric,25,60,100,4.98,942.8,28.99454545
,,cotton,120,40,20,5.38,770.44,28.68
,,horsegram,20,60,20,5.96,770.44,28.68
,,jowar,80,40,40,5.58,770.44,28.68
,,maize,80,40,20,5.36,770.44,28.68
,,moong,20,40,20,5.6,770.44,28.68
,,onion,120,60,65,6.02,770.44,28.68
,,ragi,50,40,20,5.54,770.44,28.68
,,rice,80,40,40,5.5,770.44,28.68
,,sesamum,30,15,30,6.4,770.44,28.68
,,sunflower,50,60,30,5.58,770.44,28.68
,,horsegram,20,60,20,6.18,98.94,25.574
,,jowar,80,40,40,5.58,98.94,25.574
,,maize,80,40,20,5.52,98.94,25.574
,,onion,120,60,65,6.14,98.94,25.574
,,ragi,50,40,20,5.64,98.94,25.574
,,rice,80,40,40,5.48,98.94,25.574
,,sesamum,30,15,30,6.54,98.94,25.574
,,sunflower,50,60,30,5.38,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
,,coriander,10,20,20,6.58,942.8,28.99454545
,,sweetpotato,90,20,120,4.86,942.8,28.99454545
,,turmeric,25,60,100,4.84,942.8,28.99454545
,,cotton,120,40,20,5.36,770.44,28.68
,,horsegram,20,60,20,5.92,770.44,28.68
,,jowar,80,40,40,5.66,770.44,28.68
,,maize,80,40,20,5.34,770.44,28.68
,,moong,20,40,20,5.4,770.44,28.68
,,onion,120,60,65,5.96,770.44,28.68
,,rice,80,40,40,5.64,770.44,28.68
,,sesamum,30,15,30,6.58,770.44,28.68
,,soyabean,20,60,20,5.4,770.44,28.68
,,sunflower,50,60,30,5.56,770.44,28.68
,,horsegram,20,60,20,5.9,98.94,25.574
,,jowar,80,40,40,5.54,98.94,25.574
,,maize,80,40,20,5.34,98.94,25.574
,,onion,120,60,65,5.84,98.94,25.574
,,rice,80,40,40,5.62,98.94,25.574
,,sesamum,30,15,30,6.68,98.94,25.574
,,sunflower,50,60,30,5.68,98.94,25.574
,,wheat,60,30,30,6.3,98.94,25.574
,,banana,100,75,50,6.42,942.8,28.99454545
,,cashewnuts,70,40,60,5.88,942.8,28.99454545
,,coriander,10,20,20,6.46,942.8,28.99454545
,,potato,180,60,90,5.14,942.8,28.99454545
,,turmeric,25,60,100,4.96,942.8,28.99454545
,,cotton,120,40,20,5.6,770.44,28.68
,,jowar,80,40,40,5.38,770.44,28.68
,,maize,80,40,20,5.52,770.44,28.68
,,moong,20,40,20,5.46,770.44,28.68
,,rice,80,40,40,5.58,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,soyabean,20,60,20,5.66,770.44,28.68
,,sunflower,50,60,30,5.42,770.44,28.68
,,horsegram,20,60,20,5.9,98.94,25.574
,,jowar,80,40,40,5.36,98.94,25.574
,,maize,80,40,20,5.36,98.94,25.574
,,onion,120,60,65,6.12,98.94,25.574
,,rice,80,40,40,5.48,98.94,25.574
,,sesamum,30,15,30,6.32,98.94,25.574
,,sunflower,50,60,30,5.62,98.94,25.574
,,banana,100,75,50,6.58,942.8,28.99454545
,,coriander,10,20,20,6.38,942.8,28.99454545
,,cotton,120,40,20,5.64,770.44,28.68
,,jowar,80,40,40,5.6,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.58,770.44,28.68
,,onion,120,60,65,5.84,770.44,28.68
,,ragi,50,40,20,5.5,770.44,28.68
,,rice,80,40,40,5.52,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.36,770.44,28.68
,,sunflower,50,60,30,5.58,770.44,28.68
,,horsegram,20,60,20,5.94,98.94,25.574
,,jowar,80,40,40,5.34,98.94,25.574
,,maize,80,40,20,5.42,98.94,25.574
,,moong,20,40,20,5.58,98.94,25.574
,,onion,120,60,65,5.84,98.94,25.574
,,rapeseed,50,40,20,5,98.94,25.574
,,rice,80,40,40,5.52,98.94,25.574
,,sesamum,30,15,30,6.58,98.94,25.574
,,sunflower,50,60,30,5.46,98.94,25.574
,,wheat,60,30,30,6.5,98.94,25.574
,,banana,100,75,50,6.56,942.8,28.99454545
,,coriander,10,20,20,6.32,942.8,28.99454545
,,turmeric,25,60,100,4.92,942.8,28.99454545
,,cotton,120,40,20,5.48,770.44,28.68
,,horsegram,20,60,20,5.92,770.44,28.68
,,jowar,80,40,40,5.36,770.44,28.68
,,maize,80,40,20,5.44,770.44,28.68
,,moong,20,40,20,5.38,770.44,28.68
,,onion,120,60,65,6,770.44,28.68
,,ragi,50,40,20,5.42,770.44,28.68
,,rice,80,40,40,5.36,770.44,28.68
,,sesamum,30,15,30,6.6,770.44,28.68
,,soyabean,20,60,20,5.34,770.44,28.68
,,sunflower,50,60,30,5.56,770.44,28.68
,,horsegram,20,60,20,6.04,98.94,25.574
,,jowar,80,40,40,5.64,98.94,25.574
,,maize,80,40,20,5.42,98.94,25.574
,,onion,120,60,65,5.86,98.94,25.574
,,ragi,50,40,20,5.46,98.94,25.574
,,rice,80,40,40,5.58,98.94,25.574
,,sunflower,50,60,30,5.4,98.94,25.574
,,wheat,60,30,30,6.3,98.94,25.574
,,banana,100,75,50,6.4,942.8,28.99454545
,,cashewnuts,70,40,60,6.14,942.8,28.99454545
,,coriander,10,20,20,6.54,942.8,28.99454545
,,potato,180,60,90,5,942.8,28.99454545
,,sweetpotato,90,20,120,5.18,942.8,28.99454545
,,turmeric,25,60,100,5.12,942.8,28.99454545
,,cotton,120,40,20,5.58,770.44,28.68
,,jowar,80,40,40,5.62,770.44,28.68
,,maize,80,40,20,5.66,770.44,28.68
,,moong,20,40,20,5.5,770.44,28.68
,,onion,120,60,65,6.1,770.44,28.68
,,rice,80,40,40,5.34,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.68,770.44,28.68
,,sunflower,50,60,30,5.54,770.44,28.68
,,horsegram,20,60,20,5.84,98.94,25.574
,,jowar,80,40,40,5.62,98.94,25.574
,,maize,80,40,20,5.54,98.94,25.574
,,moong,20,40,20,5.56,98.94,25.574
,,onion,120,60,65,6.12,98.94,25.574
,,rice,80,40,40,5.52,98.94,25.574
,,sesamum,30,15,30,6.54,98.94,25.574
,,sunflower,50,60,30,5.56,98.94,25.574
,,wheat,60,30,30,6.11,98.94,25.574
,,banana,100,75,50,6.46,942.8,28.99454545
,,coriander,10,20,20,6.44,942.8,28.99454545
,,sweetpotato,90,20,120,4.84,942.8,28.99454545
,,turmeric,25,60,100,5.02,942.8,28.99454545
,,cotton,120,40,20,5.6,770.44,28.68
,,jowar,80,40,40,5.64,770.44,28.68
,,maize,80,40,20,5.54,770.44,28.68
,,moong,20,40,20,5.58,770.44,28.68
,,onion,120,60,65,5.86,770.44,28.68
,,rice,80,40,40,5.4,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.62,770.44,28.68
,,horsegram,20,60,20,5.96,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.4,98.94,25.574
,,moong,20,40,20,5.38,98.94,25.574
,,onion,120,60,65,6,98.94,25.574
,,rice,80,40,40,5.58,98.94,25.574
,,sesamum,30,15,30,6.64,98.94,25.574
,,wheat,60,30,30,6.12,98.94,25.574
,,cashewnuts,70,40,60,6.16,942.8,28.99454545
,,coriander,10,20,20,6.64,942.8,28.99454545
,,potato,180,60,90,4.9,942.8,28.99454545
,,sunflower,50,60,30,5.32,942.8,28.99454545
,,sweetpotato,90,20,120,4.98,942.8,28.99454545
,,turmeric,25,60,100,5.1,942.8,28.99454545
,,cotton,120,40,20,5.68,770.44,28.68
,,jowar,80,40,40,5.52,770.44,28.68
,,maize,80,40,20,5.44,770.44,28.68
,,moong,20,40,20,5.66,770.44,28.68
,,onion,120,60,65,6.12,770.44,28.68
,,rice,80,40,40,5.48,770.44,28.68
,,sesamum,30,15,30,6.58,770.44,28.68
,,soyabean,20,60,20,5.62,770.44,28.68
,,horsegram,20,60,20,5.92,98.94,25.574
,,jowar,80,40,40,5.36,98.94,25.574
,,maize,80,40,20,5.42,98.94,25.574
,,moong,20,40,20,5.64,98.94,25.574
,,onion,120,60,65,6.06,98.94,25.574
,,rice,80,40,40,5.58,98.94,25.574
,,sesamum,30,15,30,6.5,98.94,25.574
,,wheat,60,30,30,6.3,98.94,25.574
,,banana,100,75,50,6.38,942.8,28.99454545
,,coriander,10,20,20,6.54,942.8,28.99454545
,,sunflower,50,60,30,5.36,942.8,28.99454545
,,sweetpotato,90,20,120,4.96,942.8,28.99454545
,,turmeric,25,60,100,5.02,942.8,28.99454545
,,cotton,120,40,20,5.38,770.44,28.68
,,jowar,80,40,40,5.36,770.44,28.68
,,maize,80,40,20,5.42,770.44,28.68
,,moong,20,40,20,5.64,770.44,28.68
,,onion,120,60,65,5.9,770.44,28.68
,,ragi,50,40,20,5.32,770.44,28.68
,,rice,80,40,40,5.48,770.44,28.68
,,sesamum,30,15,30,6.32,770.44,28.68
,,horsegram,20,60,20,6.02,98.94,25.574
,,jowar,80,40,40,5.66,98.94,25.574
,,maize,80,40,20,5.44,98.94,25.574
,,moong,20,40,20,5.48,98.94,25.574
,,onion,120,60,65,5.88,98.94,25.574
,,rice,80,40,40,5.54,98.94,25.574
,,sesamum,30,15,30,6.6,98.94,25.574
,,cashewnuts,70,40,60,5.96,942.8,28.99454545
,,coriander,10,20,20,6.68,942.8,28.99454545
,,sunflower,50,60,30,5.66,942.8,28.99454545
,,sweetpotato,90,20,120,4.84,942.8,28.99454545
,,turmeric,25,60,100,4.9,942.8,28.99454545
,,cotton,120,40,20,5.36,770.44,28.68
,,horsegram,20,60,20,5.92,770.44,28.68
,,jowar,80,40,40,5.66,770.44,28.68
,,maize,80,40,20,5.46,770.44,28.68
,,moong,20,40,20,5.36,770.44,28.68
,,onion,120,60,65,5.86,770.44,28.68
,,ragi,50,40,20,5.54,770.44,28.68
,,rice,80,40,40,5.48,770.44,28.68
,,sesamum,30,15,30,6.56,770.44,28.68
,,soyabean,20,60,20,5.68,770.44,28.68
,,horsegram,20,60,20,6.18,98.94,25.574
,,jowar,80,40,40,5.52,98.94,25.574
,,maize,80,40,20,5.62,98.94,25.574
,,onion,120,60,65,6.16,98.94,25.574
,,ragi,50,40,20,5.66,98.94,25.574
,,rice,80,40,40,5.56,98.94,25.574
,,wheat,60,30,30,6.12,98.94,25.574
,,coriander,10,20,20,6.46,942.8,28.99454545
,,potato,180,60,90,4.88,942.8,28.99454545
,,sunflower,50,60,30,5.32,942.8,28.99454545
,,sweetpotato,90,20,120,5.14,942.8,28.99454545
,,turmeric,25,60,100,4.96,942.8,28.99454545
,,cotton,120,40,20,5.34,770.44,28.68
,,jowar,80,40,40,5.4,770.44,28.68
,,maize,80,40,20,5.42,770.44,28.68
,,moong,20,40,20,5.6,770.44,28.68
,,onion,120,60,65,6.08,770.44,28.68
,,ragi,50,40,20,5.52,770.44,28.68
,,rice,80,40,40,5.5,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,soyabean,20,60,20,5.58,770.44,28.68
,,horsegram,20,60,20,5.92,98.94,25.574
,,jowar,80,40,40,5.64,98.94,25.574
,,maize,80,40,20,5.64,98.94,25.574
,,moong,20,40,20,5.5,98.94,25.574
,,onion,120,60,65,6.04,98.94,25.574
,,rice,80,40,40,5.6,98.94,25.574
,,sesamum,30,15,30,6.68,98.94,25.574
,,wheat,60,30,30,6.11,98.94,25.574
,,banana,100,75,50,6.38,942.8,28.99454545
,,cashewnuts,70,40,60,6.1,942.8,28.99454545
,,coriander,10,20,20,6.4,942.8,28.99454545
,,potato,180,60,90,5.02,942.8,28.99454545
,,sunflower,50,60,30,5.58,942.8,28.99454545
,,turmeric,25,60,100,4.84,942.8,28.99454545
,,cotton,120,40,20,5.6,770.44,28.68
,,horsegram,20,60,20,6.14,770.44,28.68
,,jowar,80,40,40,5.48,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.38,770.44,28.68
,,rice,80,40,40,5.38,770.44,28.68
,,sesamum,30,15,30,6.6,770.44,28.68
,,soyabean,20,60,20,5.32,770.44,28.68
,,horsegram,20,60,20,6.04,98.94,25.574
,,jowar,80,40,40,5.58,98.94,25.574
,,maize,80,40,20,5.56,98.94,25.574
,,onion,120,60,65,6.12,98.94,25.574
,,rice,80,40,40,5.62,98.94,25.574
,,sesamum,30,15,30,6.5,98.94,25.574
,,banana,100,75,50,6.56,942.8,28.99454545
,,coriander,10,20,20,6.32,942.8,28.99454545
,,sunflower,50,60,30,5.42,942.8,28.99454545
,,turmeric,25,60,100,4.92,942.8,28.99454545
,,cotton,120,40,20,5.44,770.44,28.68
,,jowar,80,40,40,5.44,770.44,28.68
,,maize,80,40,20,5.46,770.44,28.68
,,moong,20,40,20,5.56,770.44,28.68
,,onion,120,60,65,5.92,770.44,28.68
,,rice,80,40,40,5.54,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.58,770.44,28.68
,,horsegram,20,60,20,5.84,98.94,25.574
,,jowar,80,40,40,5.64,98.94,25.574
,,maize,80,40,20,5.58,98.94,25.574
,,moong,20,40,20,5.58,98.94,25.574
,,onion,120,60,65,5.92,98.94,25.574
,,rapeseed,50,40,20,4.9,98.94,25.574
,,rice,80,40,40,5.6,98.94,25.574
,,sesamum,30,15,30,6.44,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
,,banana,100,75,50,6.32,942.8,28.99454545
,,coriander,10,20,20,6.5,942.8,28.99454545
,,sunflower,50,60,30,5.34,942.8,28.99454545
,,turmeric,25,60,100,4.82,942.8,28.99454545
,,cotton,120,40,20,5.64,770.44,28.68
,,horsegram,20,60,20,6,770.44,28.68
,,jowar,80,40,40,5.68,770.44,28.68
,,maize,80,40,20,5.38,770.44,28.68
,,moong,20,40,20,5.48,770.44,28.68
,,onion,120,60,65,5.94,770.44,28.68
,,ragi,50,40,20,5.54,770.44,28.68
,,rice,80,40,40,5.62,770.44,28.68
,,sesamum,30,15,30,6.54,770.44,28.68
,,soyabean,20,60,20,5.64,770.44,28.68
,,horsegram,20,60,20,6.16,98.94,25.574
,,jowar,80,40,40,5.48,98.94,25.574
,,maize,80,40,20,5.36,98.94,25.574
,,onion,120,60,65,5.9,98.94,25.574
,,ragi,50,40,20,5.36,98.94,25.574
,,rice,80,40,40,5.32,98.94,25.574
,,wheat,60,30,30,6.12,98.94,25.574
,,banana,100,75,50,6.4,942.8,28.99454545
,,coriander,10,20,20,6.5,942.8,28.99454545
,,potato,180,60,90,4.96,942.8,28.99454545
,,sunflower,50,60,30,5.62,942.8,28.99454545
,,sweetpotato,90,20,120,4.94,942.8,28.99454545
,,turmeric,25,60,100,5.04,942.8,28.99454545
,,cotton,120,40,20,5.54,770.44,28.68
,,jowar,80,40,40,5.6,770.44,28.68
,,maize,80,40,20,5.44,770.44,28.68
,,moong,20,40,20,5.66,770.44,28.68
,,onion,120,60,65,5.88,770.44,28.68
,,rice,80,40,40,5.32,770.44,28.68
,,sesamum,30,15,30,6.66,770.44,28.68
,,horsegram,20,60,20,5.84,98.94,25.574
,,jowar,80,40,40,5.6,98.94,25.574
,,maize,80,40,20,5.34,98.94,25.574
,,moong,20,40,20,5.64,98.94,25.574
,,onion,120,60,65,5.94,98.94,25.574
,,rice,80,40,40,5.42,98.94,25.574
,,sesamum,30,15,30,6.68,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
,,banana,100,75,50,6.52,942.8,28.99454545
,,coriander,10,20,20,6.54,942.8,28.99454545
,,sunflower,50,60,30,5.38,942.8,28.99454545
,,sweetpotato,90,20,120,5.06,942.8,28.99454545
,,turmeric,25,60,100,5.08,942.8,28.99454545
,,cotton,120,40,20,5.38,770.44,28.68
,,horsegram,20,60,20,5.84,770.44,28.68
,,jowar,80,40,40,5.32,770.44,28.68
,,maize,80,40,20,5.62,770.44,28.68
,,moong,20,40,20,5.6,770.44,28.68
,,onion,120,60,65,6.08,770.44,28.68
,,rice,80,40,40,5.32,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.62,770.44,28.68
,,horsegram,20,60,20,5.98,98.94,25.574
,,jowar,80,40,40,5.6,98.94,25.574
,,maize,80,40,20,5.34,98.94,25.574
,,moong,20,40,20,5.52,98.94,25.574
,,onion,120,60,65,6.02,98.94,25.574
,,rice,80,40,40,5.44,98.94,25.574
,,sesamum,30,15,30,6.32,98.94,25.574
,,wheat,60,30,30,6.8,98.94,25.574
,,banana,100,75,50,6.68,942.8,28.99454545
,,cashewnuts,70,40,60,6.18,942.8,28.99454545
,,coriander,10,20,20,6.66,942.8,28.99454545
,,potato,180,60,90,5.12,942.8,28.99454545
,,sunflower,50,60,30,5.38,942.8,28.99454545
,,sweetpotato,90,20,120,5.16,942.8,28.99454545
,,turmeric,25,60,100,5.1,942.8,28.99454545
,,cotton,120,40,20,5.64,770.44,28.68
,,jowar,80,40,40,5.58,770.44,28.68
,,maize,80,40,20,5.48,770.44,28.68
,,moong,20,40,20,5.46,770.44,28.68
,,onion,120,60,65,6.02,770.44,28.68
,,rice,80,40,40,5.4,770.44,28.68
,,sesamum,30,15,30,6.52,770.44,28.68
,,soyabean,20,60,20,5.58,770.44,28.68
,,horsegram,20,60,20,6,98.94,25.574
,,jowar,80,40,40,5.46,98.94,25.574
,,maize,80,40,20,5.58,98.94,25.574
,,moong,20,40,20,5.48,98.94,25.574
,,onion,120,60,65,5.96,98.94,25.574
,,rice,80,40,40,5.56,98.94,25.574
,,sesamum,30,15,30,6.64,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
